tick, x, y, z, direction_x, direction_y, direction_z, speed, acceleration, gear
2,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,0
5,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
8,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
11,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
14,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
17,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
20,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
23,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
26,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
29,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
32,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
35,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
38,673.181,2382.5,0.404966,0,-1.7347e-06,9.53674e-07,0,0,1
41,673.181,2382.5,0.404966,0,-1.81017e-06,9.53674e-07,0,0,1
44,673.218,2382.5,0.405125,0.00023623,-0.00897509,0.000582694,1.26052,29.9416,1
47,673.371,2382.5,0.407423,0.000678205,-0.0193147,0.00220111,2.73859,16.8416,1
50,673.607,2382.5,0.407262,0.00163413,-0.0185032,0.00697798,3.71473,12.0751,1
53,673.909,2382.51,0.405629,0.00192104,-0.0161761,0.0148392,4.57285,11.3444,1
56,674.267,2382.52,0.404576,0.00233053,-0.0140091,0.0224665,5.28247,7.74941,1
59,674.662,2382.54,0.404397,0.00228712,-0.0104687,0.0286704,5.62146,3.65142,1
62,675.077,2382.56,0.404623,0.00180082,-0.00775787,0.0342142,5.89179,3.73546,1
65,675.511,2382.58,0.404663,0.000237456,-0.00626142,0.0371713,6.16363,3.78572,1
68,675.965,2382.59,0.404552,-0.000315157,-0.00545253,0.0374207,6.43368,3.77828,1
71,676.439,2382.61,0.404399,-0.000208963,-0.0050169,0.0374881,6.70399,3.74578,1
74,676.932,2382.63,0.404269,-0.000116871,-0.00477752,0.037541,6.97412,3.74227,1
77,677.444,2382.65,0.404175,-6.08808e-05,-0.00464528,0.0375875,7.24406,3.73971,1
80,677.976,2382.67,0.40411,-2.81046e-05,-0.00457309,0.0376285,7.51381,3.73686,1
83,678.527,2382.69,0.404063,-1.02549e-05,-0.00453501,0.0376645,7.78338,3.73441,1
86,679.097,2382.71,0.404041,0.00057946,-0.00451587,0.0385231,8.05297,3.96413,1
89,679.687,2382.74,0.404063,0.000268235,-0.00451382,0.039729,8.3214,3.71214,1
92,680.296,2382.76,0.404029,2.59525e-05,-0.00450773,0.0398072,8.5904,3.74256,1
95,680.925,2382.78,0.403973,3.29773e-06,-0.00450853,0.0398304,8.85927,3.72809,1
98,681.573,2382.81,0.403925,2.65886e-06,-0.00451174,0.0398468,9.12798,3.7234,1
101,682.24,2382.84,0.403885,3.3358e-06,-0.00451564,0.0398596,9.3965,3.72061,1
104,682.926,2382.86,0.40385,3.44623e-06,-0.0045201,0.0398694,9.66485,3.71804,1
107,683.632,2382.89,0.403818,3.1075e-06,-0.00452507,0.0398766,9.93302,3.71519,1
110,684.358,2382.92,0.403778,2.24434e-06,-0.00483101,0.0398795,10.2511,5.24745,1
113,685.112,2382.95,0.403687,1.76807e-06,-0.00574035,0.0398847,10.6637,4.67176,1
116,685.89,2382.98,0.403646,-3.92941e-08,-0.00523039,0.0398902,10.9258,5.18209,1
119,686.68,2383.02,0.403869,1.72649e-06,-0.00389002,0.0399034,11.0221,-1.03725,1
122,687.478,2383.05,0.404063,4.80456e-06,-0.00306682,0.0399031,11.141,1.81584,1
125,688.286,2383.08,0.40405,2.66936e-06,-0.00305497,0.0399018,11.3219,2.87823,1
128,689.109,2383.11,0.403924,1.30313e-06,-0.00334662,0.0399022,11.5368,3.04135,1
131,689.946,2383.14,0.403846,1.96962e-06,-0.00299387,0.03995,11.6617,-0.0719813,1
134,690.783,2383.18,0.404105,1.55363e-05,-0.00162112,0.0400009,11.6403,0.305601,2
137,691.622,2383.21,0.404221,1.74727e-05,-0.00123298,0.0400002,11.6759,1.02861,2
140,692.469,2383.24,0.404156,1.03098e-05,-0.00251131,0.0400075,11.9387,6.77223,2
143,693.353,2383.28,0.403871,6.27042e-06,-0.00646572,0.0400062,12.6133,10.8271,2
146,694.292,2383.32,0.40339,3.69292e-06,-0.00960155,0.0400064,13.4164,11.1255,2
149,695.287,2383.36,0.402901,2.23634e-06,-0.0108085,0.0400068,14.1885,10.2213,2
152,696.333,2383.4,0.402607,1.49779e-06,-0.0102273,0.0400071,14.7646,5.17937,2
155,697.404,2383.44,0.402903,9.9902e-07,-0.00755414,0.0400071,14.9786,2.26759,2
158,698.488,2383.49,0.40335,6.07527e-07,-0.00549208,0.0400071,15.1404,2.2497,2
161,699.584,2383.53,0.403512,3.54791e-07,-0.00435582,0.0400071,15.3025,2.2517,2
164,700.691,2383.57,0.403476,2.04542e-07,-0.00375018,0.0400071,15.4646,2.24979,2
167,701.81,2383.62,0.403374,1.14718e-07,-0.00342711,0.0400071,15.6265,2.24801,2
170,702.94,2383.66,0.403271,6.59037e-08,-0.00325311,0.0400071,15.7883,2.24677,2
